Earlier,Silli,Gloss
mIlo,mIlu,milo
ksipnO,kSipnO,shampoo
peDI,perI,today
xtInno,xCInno,yesterday
Erxome,Erxumi,morning
Erxete,ErSiti,breakfast
TIra,sIra,tiara
oxtO,oxtO,octopus
paxIs,paSIs,patient
peTerOs,peserOs,wonderful
fOvos,fOvus,horse
DOka,rOka,animal
TeOs,seOs,dog
filAtto,filAttu,cat
xEri,SEri,hair
Ise,ISi,mouse
Exusi,ExuSi,too
spIti,spICi,the
ftIra,fCIra,watch
Onoma,Onoma,do
onOmata,onOmata,see
DE,rE,look
tOpos,tOpus,bedroom
vroxI,vroSI,house
trExo,trExu,cup
TorI,sorI,invent
psixI,pSiSI,book
ftIno,fCInu,bear
Oti,OCi,paper
tOte,tOti,thing
forAs,forAs,that
DOndi,rOnZi,this
tIs,CIs,how
Anomos,Anumus,fridge
TElo,sElu,window
ksIlo,kSIlu,spoon
